iter	Passed	Remaining
0	5	558
1	10	501
2	14	473
3	18	433
4	22	428
5	27	424
6	31	423
7	36	415
8	40	410
9	45	406
10	48	388
11	50	373
12	53	358
13	55	341
14	57	327
15	59	313
16	61	299
17	62	286
18	64	274
19	65	263
20	66	251
21	68	241
22	69	232
23	70	224
24	71	215
25	72	207
26	73	199
27	75	193
28	76	186
29	77	180
30	78	173
31	79	168
32	79	162
33	80	157
34	81	152
35	82	147
36	83	142
37	84	138
38	85	134
39	86	130
40	87	125
41	87	121
42	88	117
43	89	114
44	90	110
45	91	107
46	92	104
47	93	101
48	94	98
49	95	95
50	95	92
51	96	89
52	97	86
53	98	83
54	99	81
55	100	78
56	101	76
57	102	73
58	102	71
59	103	69
60	104	66
61	105	64
62	106	62
63	107	60
64	108	58
65	109	56
66	110	54
67	111	52
68	112	50
69	113	48
70	114	46
71	115	44
72	115	42
73	116	41
74	117	39
75	118	37
76	119	35
77	120	33
78	121	32
79	122	30
80	123	28
81	124	27
82	125	25
83	126	24
84	127	22
85	128	20
86	129	19
87	130	17
88	131	16
89	133	14
90	134	13
91	135	11
92	136	10
93	138	8
94	139	7
95	140	5
96	141	4
97	142	2
98	143	1
99	144	0
